batchNum,denominator,molecule,ratio
201801,2800927,6460,0.23%
201802,2769423,6333,0.23%
201803,2808047,6333,0.23%
201804,2932227,6333,0.22%
201805,3003201,6402,0.21%
201806,3060913,6413,0.21%
