___,__
1,169601
2,161774
3,295709
4,135777
5,147270
6,247486
7,116327
8,127842
9,202537
10,108908
11,122870
12,188409
13,107580
14,115595
15,155139
16,101553
17,108308
18,137653
19,93221
20,103167
21,123317
22,94554
23,102378
24,113345
25,93632
26,101958
27,108724
28,91879
29,98399
30,100250
31,85031
32,90597
33,90243
34,82484
35,86609
36,78682
37,69400
38,67149
39,66310
40,57481
41,53518
42,53235
43,50877
44,50621
45,52868
46,51508
47,50154
48,53476
49,51829
50,47680
51,48627
52,46494
53,39060
54,36668
55,30772
56,27595
57,28483
58,26720
59,23475
60,22143
61,20728
62,19892
63,18230
64,17595
65,16524
66,15461
67,15496
68,15740
69,15755
70,14748
71,12174
72,8562
